Name	Description	Lat	Long
Bill Brydge	Renfrew	45.475246	-76.687485
Mervyn "Red" Dutton	Russell	50.78046	-101.284877
Murray Murdoch	Lucknow	43.961387	-81.512986
Bill Cook	Brantford	43.138841	-80.265139
George Hainsworth	Toronto	43.652976	-79.382856
Frederick "Bun" Cook	Kingston	44.230449	-76.487058
Lorne Chabot	Montreal	45.511528	-73.550721
Harry Oliver	Selkirk	50.143794	-96.875592
Melville "Butch" Keeling	Owen Sound	44.569001	-80.940608
Leighton "Happy" Emms	Barrie	44.389977	-79.690598
Pete Palangio	North Bay	46.308722	-79.46156
Ken Doraty	Stittsville	45.25862	-75.920529
Carl Voss	Chelsea	42.391627	-71.032793
Ivan "Ching" Johnson	Winnipeg	49.898957	-97.136776
Paul Thompson	Calgary	51.045074	-114.059049
Eddie Shore	Fort Qu'Appelle	50.768114	-103.782907
Beattie Ramsay	Lumsden	50.646347	-104.86744
Cecil Browne	Winnipeg	49.898515	-97.146045
Marty Lauder	Durham	44.176313	-80.818386
Frank "Patsy" Callighen	Huntsville	45.327011	-79.219103
Fred Brown	Kingston	44.230449	-76.487058
Jean "Blackie" Chouinard	Ottawa	45.420543	-75.691767
Frank Sheppard	Montreal	45.507919	-73.553468
Barney Stanley	Paisley	44.306315	-81.273082
Val "Vic" Hoffinger	Seltz		
Alex Gray	Glasgow		
Ralph "Bouncer" Taylor	Toronto	43.652976	-79.382856
Joe Miller	Morrisburg	44.898008	-75.183762
Eddie McCalmon	Varney	44.136558	-80.811899
Art Smith	Toronto	43.653225	-79.381139
Harry Connor	Ottawa	45.420543	-75.691767
Earl Miller	Lumsden	50.646347	-104.86744
Leonard Grosvenor	Ottawa	45.420543	-75.691767
Gerry Lowrey	Ottawa	45.420543	-75.691767
Leo Gaudreault	Chicoutimi	48.422738	-71.061304
Bill Touhey	Ottawa	45.420543	-75.691767
Sammy Godin	Rockland	45.548426	-75.291169
Chuck Gardiner	Edinburgh		
Norman "Dutch" Gainor	Calgary	51.045074	-114.059049
Nick Wasnie	Winnipeg	49.898957	-97.136776
Joe Primeau	Lindsay	44.356604	-78.740553
Teddy Graham	Owen Sound	44.569062	-80.935115
Marty Burke	Toronto	43.652976	-79.382856
Allan Shields	Ottawa	45.420543	-75.691767
Joe Lamb	Sussex	45.72407	-65.510916
Jimmy Ward	Fort William	48.345006	-89.34821
Larry Aurie	Sudbury	46.488995	-81.003606
Marvin "Cyclone" Wentworth	Grimsby	43.194317	-79.562627
Marty Barry	Quebec	46.803455	-71.242647
Aubrey "Dit" Clapper	Newmarket	44.059072	-79.461206
Frank Daley	Port Arthur	48.430885	-89.234172
Fred Elliott	Clinton	43.617366	-81.539247
Bobby Burns	Gore Bay	45.911607	-82.459997
Melville "Sparky" Vail	Meaford	44.750732	-79.89368
Cliff McBride	Toronto	43.652976	-79.382856
Clarence Dolson	Hespeler	43.431458	-80.310329
Hal Hicks	Sillery	46.770834	-71.265548
Eric Pettinger	North Bierley		
George Owen	Hamilton	43.253309	-114.868105
Myles Lane	New York	40.71604	-73.990363
Vic Ripley	Elgin	44.607823	-76.221999
Art Lesieur	Fall River	41.70149	-71.155005
Rosario "Lolo" Couture	St. Boniface	49.88783	-97.117031
Gerald Carson	Parry Sound	45.347315	-80.035049
Andrew Blair	Winnipeg	49.898957	-97.136776
Lloyd "Deed" Klein	Saskatoon	52.13249	-106.683119
Herbie Lewis	Calgary	51.045074	-114.059049
Lawrence "Baldy" Northcott	Calgary	51.045074	-114.059049
Leroy Goldsworthy	Two Harbors	47.023102	-91.67086
Ralph "Cooney" Weiland	Seaforth	43.5537	-81.393467
Dave Trottier	Pembroke	45.826723	-77.110541
Cecil "Tiny" Thompson	Sandon	49.975571	-117.226834
Reginald "Red" Horner	Lynden	43.229745	-80.144761
Earl Robinson	Montreal	45.511528	-73.550721
Armand Mondou	Yamaska	46.004954	-72.920392
Georges Mantha	Lachine	45.44521	-73.685071
Benny Grant	Owen Sound	44.569001	-80.940608
Harold "Mush" March	Sitton	50.807043	-104.911094
Johnny Gottselig	Odessa		
Red Spooner	Port Arthur now Thunder Bay	48.379988	-89.252426
James "Rusty" Hughes	Webbwood	46.269997	-81.883707
Gord Brydson	Toronto	43.652976	-79.382856
Leo Quenneville	Montreal	45.511528	-73.550721
Bob Taylor	Brookline	42.332341	-71.120803
Roland Matte	Bourget 	45.435033	-75.157841
Bill Hutton	Calgary	51.045074	-114.059049
Rennison "Dinny" Manners	Ottawa	45.420543	-75.691767
George Massecar	Waterford	42.931665	-80.289647
Roy Burmister	Collingwood	44.500417	-80.217538
Gus Rivers	Winnipeg	49.898957	-97.136776
Stewart Adams	Calgary	51.045074	-114.059049
Bill Regan	Creighton Mine	46.473673	-81.18554
Harvey Rockburn	Ottawa	45.420543	-75.691767
Helge "Bulge" Bostrom	Winnipeg	49.898957	-97.136776
Stan McCabe	Ottawa	45.420543	-75.691767
Harry "Yip" Foster	Guelph	43.545259	-80.249781
Orville "Obs" Heximer	Niagara Falls	43.089796	-79.088035
Archie Wilcox	Montreal	45.511528	-73.550721
Art Somers	Winnipeg	49.898957	-97.136776
Abby Cox	London	42.98782	-81.241753
Harold Starr	Ottawa	45.422953	-75.689707
James "Bud" Jarvis	Fort Williams	48.345006	-89.34821
Tom Cook	Fort William	48.345006	-89.34821
Wally Kilrea	Ottawa	45.420543	-75.691767
Cliff Barton	Sault Ste. Marie	46.49515	-84.34369
Charlie Conacher	Toronto	43.104333	-79.421096
Bill Beveridge	Ottawa	45.420543	-75.691767
Ebbie Goodfellow	Ottawa	45.420543	-75.691767
Harvey "Busher" Jackson	Toronto	43.104333	-79.421096
Syd Howe	Ottawa	45.420543	-75.691767
Ed Vokes	Quill Lake	52.069829	-104.256454
Frank "Deacon" Waite	Fort Qu'Appelle	50.768114	-103.782907
Henry "Smoky" Harris	Kenora	49.766395	-94.487216
D'Arcy Coulson	Sudbury	46.488995	-81.003606
Stanley Crossett	Tillsonburg	42.865948	-80.733803
Herbert "Hap" Hamel	New Hamburg	43.379427	-80.711017
Elmer "Buddy" Maracle	North Bay	46.308722	-79.46156
Al Huggins	Toronto	43.652976	-79.382856
Ellis Pringle	Toronto	43.653225	-79.381139
Frank Steele	Niagara Falls	43.089796	-79.088035
Roland Huard	Ottawa	45.420543	-75.691767
Ray Kinsella	Ottawa	45.420543	-75.691767
John Newman	Ottawa	45.420543	-75.691767
Frank Peters	New York	40.71565	-74.00401
Sammy McAdam	Winnipeg	49.898957	-97.136776
Ron "Peaches" Lyons	Portage la Prairie	49.972197	-98.289257
Jimmy Creighton	Brandon	49.848577	-99.950312
Jack Pratt	Stettler	52.322529	-112.710579
Victor Desjardins	S.S.Marie	46.49515	-84.34369
Albert "Rusty" Hughes	Guelph	43.545259	-80.249781
Jack "Pop" McVicar	Renfrew	45.475246	-76.687485
Eddie Convey	Toronto	43.652976	-79.382856
Tommy Filmore	London	42.98782	-81.241753
Gene Carrigan	Edmonton	53.544455	-113.490859
Ernie Kenny	Vermillion	53.354055	-110.858242
Aubrey Webster	Kenora	49.766395	-94.487216
Desse Roche	Kemptville	45.016441	-75.64602
Earl Roche	Prescott	44.709242	-75.518644
Vernon Ayres	Toronto	43.652976	-79.382856
Jean Pusie	Montreal	45.511528	-73.550721
Bert McInenly	Quebec	46.803455	-71.242647
Harry "Yip" Radley	Ottawa	45.422953	-75.689707
Paul Runge	Edmonton	53.544455	-113.490859
Glen Brydson	Swansea	43.644149	-79.478105
John Gallagher	Kenora	49.766395	-94.487216
Roger Jenkins	Appleton	44.262798	-88.414922
Bob Gracie	North Bay	46.308722	-79.46156
Alex Levinsky	Syracuse	43.048533	-76.147691
Stewart Evans	Ottawa	45.420543	-75.691767
Joe Jerwa	Warsaw	52.229784	21.017249
Jack "Red" Beattie	Ibstock		
Elwyn "Doc" Romnes	White Bear Lake	45.090237	-93.049564
Cecil Dillon	Toledo	41.664891	-83.55679
Johnny Gagnon	Chicoutimi	48.422738	-71.061304
Art Chapman	Winnipeg	49.898957	-97.136776
Dave Kerr	Toronto	43.652976	-79.382856
Paul Haynes	Montreal	45.511528	-73.550721
John Sorrell	Chesterville	45.962625	-71.823113
Wilf Cude	Barry		
Pat Shea	Potlatch	46.921584	-116.898219
Ron "Max" Sutherland	Eston	51.150719	-108.757251
Hub Wilson	Ottawa	45.422953	-75.689707
Eddie Jeremiah	Worcester	42.262478	-71.800717
